"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Авторизация с недействительными учетными данными","tests","Thu May 22 15:29:02 GMT 2025","passed","Thu May 22 15:29:02 GMT 2025","","test_login","",""
"","292","Авторизация с корректными учетными данными","tests","Thu May 22 15:29:03 GMT 2025","passed","Thu May 22 15:29:03 GMT 2025","","test_login","",""
"","298","Авторизация с корректными учетными данными","tests","Thu May 22 15:29:02 GMT 2025","passed","Thu May 22 15:29:03 GMT 2025","","test_login","",""
