"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Авторизация с корректными учетными данными","tests","Thu May 22 15:33:14 GMT 2025","passed","Thu May 22 15:33:15 GMT 2025","","test_login","",""
"","386","Авторизация с недействительными учетными данными","tests","Thu May 22 15:33:14 GMT 2025","failed","Thu May 22 15:33:14 GMT 2025","","test_login","",""
"","245","Авторизация с корректными учетными данными","tests","Thu May 22 15:33:15 GMT 2025","passed","Thu May 22 15:33:15 GMT 2025","","test_login","",""
